feature,count,freq
parotid__sym__absdiff__ct__wavelet-LLL_ngtdm_Coarseness,1,0.2
parotid__sym__absratio__ct__original_shape_MinorAxisLength,1,0.2
parotid__sym__diff__ct__original_glcm_Imc1,1,0.2
parotid__sym__diff__ct__original_ngtdm_Busyness,1,0.2
parotid__sym__diff__ct__original_shape_LeastAxisLength,1,0.2
parotid__sym__max__ct__log-sigma-5-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,1,0.2
parotid__sym__max__ct__wavelet-HHL_firstorder_Skewness,1,0.2
parotid__sym__max__ct__wavelet-HLH_glcm_MCC,1,0.2
parotid__sym__max__ct__wavelet-HLH_glrlm_LongRunEmphasis,1,0.2
parotid__sym__max__ct__wavelet-HLH_glszm_LargeAreaEmphasis,1,0.2
parotid__sym__max__ct__wavelet-LHH_glcm_JointEnergy,1,0.2
parotid__sym__max__ct__wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,1,0.2
parotid__sym__max__ct__wavelet-LLH_glcm_Id,1,0.2
parotid__sym__max__ct__wavelet-LLH_glcm_InverseVariance,1,0.2
parotid__sym__max__ct__wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,1,0.2
parotid__sym__max__ct__wavelet-LLL_gldm_DependenceVariance,1,0.2
parotid__sym__mean__ct__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,1,0.2
parotid__sym__mean__ct__wavelet-HHH_firstorder_Variance,1,0.2
parotid__sym__mean__ct__wavelet-HHH_gldm_SmallDependenceEmphasis,1,0.2
parotid__sym__mean__ct__wavelet-HHH_glszm_SmallAreaEmphasis,1,0.2
parotid__sym__mean__ct__wavelet-HHL_firstorder_Mean,1,0.2
parotid__sym__mean__ct__wavelet-HLH_glcm_MCC,1,0.2
parotid__sym__mean__ct__wavelet-HLH_gldm_GrayLevelVariance,1,0.2
parotid__sym__mean__ct__wavelet-LHL_glszm_ZoneEntropy,1,0.2
parotid__sym__mean__ct__wavelet-LLH_glszm_SmallAreaEmphasis,1,0.2
parotid__sym__min__ct__log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,1,0.2
parotid__sym__min__ct__original_glrlm_GrayLevelVariance,1,0.2
parotid__sym__min__ct__wavelet-HHH_firstorder_Variance,1,0.2
parotid__sym__min__ct__wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,1,0.2
parotid__sym__min__ct__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,1,0.2
parotid__sym__min__ct__wavelet-HLH_glcm_ClusterProminence,1,0.2
parotid__sym__min__ct__wavelet-HLH_glcm_MaximumProbability,1,0.2
parotid__sym__min__ct__wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,1,0.2
parotid__sym__min__ct__wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,1,0.2
parotid__sym__min__ct__wavelet-LHH_firstorder_Maximum,1,0.2
parotid__sym__min__ct__wavelet-LHH_ngtdm_Complexity,1,0.2
parotid__sym__min__ct__wavelet-LHH_ngtdm_Strength,1,0.2
parotid__sym__min__ct__wavelet-LHL_firstorder_Energy,1,0.2
parotid__sym__min__ct__wavelet-LHL_firstorder_TotalEnergy,1,0.2
parotid__sym__min__ct__wavelet-LLH_firstorder_Kurtosis,1,0.2
parotid__sym__min__ct__wavelet-LLL_gldm_DependenceNonUniformity,1,0.2
parotid__sym__reldiff__ct__original_glcm_DifferenceEntropy,1,0.2
parotid__sym__reldiff__ct__original_ngtdm_Coarseness,1,0.2
submand_L__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,1,0.2
submand_L__ct__original_firstorder_Skewness,1,0.2
submand_L__ct__original_glszm_SizeZoneNonUniformity,1,0.2
submand_L__ct__wavelet-HHH_firstorder_90Percentile,1,0.2
submand_L__ct__wavelet-HHH_firstorder_Minimum,1,0.2
submand_L__ct__wavelet-HHH_glcm_JointEnergy,1,0.2
submand_L__ct__wavelet-HHL_glcm_InverseVariance,1,0.2
submand_L__ct__wavelet-HHL_gldm_LargeDependenceLowGrayLevelEmphasis,1,0.2
submand_L__ct__wavelet-HHL_glszm_GrayLevelNonUniformity,1,0.2
submand_L__ct__wavelet-HHL_glszm_SizeZoneNonUniformity,1,0.2
submand_L__ct__wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,1,0.2
submand_L__ct__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
submand_L__ct__wavelet-HLH_glrlm_RunPercentage,1,0.2
submand_L__ct__wavelet-HLH_glrlm_RunVariance,1,0.2
submand_L__ct__wavelet-LHH_glcm_InverseVariance,1,0.2
submand_L__ct__wavelet-LHH_glcm_SumEntropy,1,0.2
submand_L__ct__wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,1,0.2
submand_L__ct__wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,1,0.2
submand_L__ct__wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,1,0.2
submand_L__ct__wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
submand_L__ct__wavelet-LLL_gldm_SmallDependenceEmphasis,1,0.2
submand_R__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,1,0.2
submand_R__ct__log-sigma-1-0-mm-3D_ngtdm_Contrast,1,0.2
submand_R__ct__log-sigma-3-0-mm-3D_glcm_Imc1,1,0.2
submand_R__ct__log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,1,0.2
submand_R__ct__log-sigma-5-0-mm-3D_glcm_InverseVariance,1,0.2
submand_R__ct__log-sigma-5-0-mm-3D_glszm_ZoneEntropy,1,0.2
submand_R__ct__original_glszm_ZonePercentage,1,0.2
submand_R__ct__wavelet-HHH_firstorder_MeanAbsoluteDeviation,1,0.2
submand_R__ct__wavelet-HHL_glcm_MaximumProbability,1,0.2
submand_R__ct__wavelet-HLH_glszm_GrayLevelNonUniformity,1,0.2
submand_R__ct__wavelet-HLH_glszm_ZoneEntropy,1,0.2
submand_R__ct__wavelet-HLH_glszm_ZonePercentage,1,0.2
submand_R__ct__wavelet-HLL_firstorder_Maximum,1,0.2
submand_R__ct__wavelet-HLL_ngtdm_Contrast,1,0.2
submand_R__ct__wavelet-LHH_glcm_ClusterTendency,1,0.2
submand_R__ct__wavelet-LHH_glcm_Correlation,1,0.2
submand_R__ct__wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,1,0.2
submand_R__ct__wavelet-LHL_glszm_SmallAreaEmphasis,1,0.2
submand_R__ct__wavelet-LLH_glcm_JointEnergy,1,0.2
submand_R__ct__wavelet-LLL_firstorder_InterquartileRange,1,0.2
submand_R__ct__wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,1,0.2
submand_R__ct__wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
submand_R__ct__wavelet-LLL_ngtdm_Contrast,1,0.2
submand__sym__absdiff__ct__log-sigma-1-0-mm-3D_glcm_Id,1,0.2
submand__sym__absdiff__ct__log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,1,0.2
submand__sym__absdiff__ct__log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,1,0.2
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_firstorder_Minimum,1,0.2
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,1,0.2
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,1,0.2
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,1,0.2
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,1,0.2
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,1,0.2
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_gldm_GrayLevelNonUniformity,1,0.2
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,1,0.2
submand__sym__absdiff__ct__original_firstorder_InterquartileRange,1,0.2
submand__sym__absdiff__ct__original_glcm_Contrast,1,0.2
submand__sym__absdiff__ct__original_gldm_GrayLevelNonUniformity,1,0.2
submand__sym__absdiff__ct__original_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
submand__sym__absdiff__ct__original_shape_Maximum2DDiameterSlice,1,0.2
submand__sym__absdiff__ct__wavelet-HHL_firstorder_Range,1,0.2
submand__sym__absdiff__ct__wavelet-HHL_glcm_Idmn,1,0.2
submand__sym__absdiff__ct__wavelet-HHL_gldm_LowGrayLevelEmphasis,1,0.2
submand__sym__absdiff__ct__wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,1,0.2
submand__sym__absdiff__ct__wavelet-HHL_glszm_SizeZoneNonUniformity,1,0.2
submand__sym__absdiff__ct__wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,1,0.2
submand__sym__absdiff__ct__wavelet-HHL_ngtdm_Busyness,1,0.2
submand__sym__absdiff__ct__wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,1,0.2
submand__sym__absdiff__ct__wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,1,0.2
submand__sym__absdiff__ct__wavelet-HLH_glszm_SizeZoneNonUniformity,1,0.2
submand__sym__absdiff__ct__wavelet-HLL_firstorder_90Percentile,1,0.2
submand__sym__absdiff__ct__wavelet-HLL_gldm_DependenceNonUniformity,1,0.2
submand__sym__absdiff__ct__wavelet-HLL_gldm_LargeDependenceEmphasis,1,0.2
submand__sym__absdiff__ct__wavelet-LHH_glcm_ClusterProminence,1,0.2
submand__sym__absdiff__ct__wavelet-LHH_glcm_Contrast,1,0.2
submand__sym__absdiff__ct__wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,1,0.2
submand__sym__absdiff__ct__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,1,0.2
submand__sym__absdiff__ct__wavelet-LHL_firstorder_Skewness,1,0.2
submand__sym__absdiff__ct__wavelet-LHL_glszm_ZonePercentage,1,0.2
submand__sym__absdiff__ct__wavelet-LLH_firstorder_Mean,1,0.2
submand__sym__absdiff__ct__wavelet-LLH_glrlm_RunLengthNonUniformity,1,0.2
submand__sym__absdiff__ct__wavelet-LLH_glszm_GrayLevelNonUniformity,1,0.2
submand__sym__absdiff__ct__wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
submand__sym__absdiff__ct__wavelet-LLL_glcm_Contrast,1,0.2
submand__sym__absdiff__ct__wavelet-LLL_glcm_DifferenceVariance,1,0.2
submand__sym__absdiff__ct__wavelet-LLL_gldm_LowGrayLevelEmphasis,1,0.2
submand__sym__absdiff__ct__wavelet-LLL_glrlm_GrayLevelNonUniformity,1,0.2
submand__sym__absdiff__ct__wavelet-LLL_glszm_ZonePercentage,1,0.2
submand__sym__absdiff__ct__wavelet-LLL_ngtdm_Coarseness,1,0.2
submand__sym__absratio__ct__original_firstorder_Maximum,1,0.2
submand__sym__max__ct__log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,1,0.2
submand__sym__max__ct__log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,1,0.2
submand__sym__max__ct__log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,1,0.2
submand__sym__max__ct__log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformity,1,0.2
submand__sym__max__ct__original_firstorder_Skewness,1,0.2
submand__sym__max__ct__original_glrlm_GrayLevelNonUniformity,1,0.2
submand__sym__max__ct__original_glszm_ZonePercentage,1,0.2
submand__sym__max__ct__original_shape_Sphericity,1,0.2
submand__sym__max__ct__wavelet-HHH_firstorder_MeanAbsoluteDeviation,1,0.2
submand__sym__max__ct__wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis,1,0.2
submand__sym__max__ct__wavelet-HLH_firstorder_Median,1,0.2
