feature,count,freq
parotid_R__dose__wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,1,0.2
parotid_R__dose__wavelet-HLH_firstorder_Median,1,0.2
parotid_R__dose__wavelet-HLH_glcm_SumEntropy,1,0.2
parotid_R__dose__wavelet-LHH_glcm_SumSquares,1,0.2
parotid_R__dose__wavelet-LHL_ngtdm_Coarseness,1,0.2
parotid_R__dose__wavelet-LLH_glcm_Imc2,1,0.2
parotid_R__dose__wavelet-LLH_glcm_MCC,1,0.2
parotid_R__dose__wavelet-LLH_gldm_DependenceVariance,1,0.2
parotid_R__dose__wavelet-LLL_firstorder_Range,1,0.2
parotid__sym__absdiff__dose__log-sigma-1-0-mm-3D_glcm_Imc2,1,0.2
parotid__sym__absdiff__dose__log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,1,0.2
parotid__sym__absdiff__dose__log-sigma-2-0-mm-3D_glcm_Imc1,1,0.2
parotid__sym__absdiff__dose__log-sigma-2-0-mm-3D_glcm_Imc2,1,0.2
parotid__sym__absdiff__dose__log-sigma-2-0-mm-3D_gldm_GrayLevelNonUniformity,1,0.2
parotid__sym__absdiff__dose__log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,1,0.2
parotid__sym__absdiff__dose__log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,1,0.2
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_firstorder_90Percentile,1,0.2
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_glcm_Idmn,1,0.2
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_glcm_Idn,1,0.2
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_glcm_Imc2,1,0.2
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_glrlm_RunEntropy,1,0.2
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_glszm_ZonePercentage,1,0.2
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_ngtdm_Contrast,1,0.2
parotid__sym__absdiff__dose__original_firstorder_Energy,1,0.2
parotid__sym__absdiff__dose__original_firstorder_TotalEnergy,1,0.2
parotid__sym__absdiff__dose__original_firstorder_Uniformity,1,0.2
parotid__sym__absdiff__dose__original_gldm_DependenceNonUniformity,1,0.2
parotid__sym__absdiff__dose__original_gldm_LargeDependenceLowGrayLevelEmphasis,1,0.2
parotid__sym__absdiff__dose__original_glszm_LargeAreaLowGrayLevelEmphasis,1,0.2
parotid__sym__absdiff__dose__wavelet-HHH_glcm_JointEntropy,1,0.2
parotid__sym__absdiff__dose__wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,1,0.2
parotid__sym__absdiff__dose__wavelet-HHH_glrlm_ShortRunEmphasis,1,0.2
parotid__sym__absdiff__dose__wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
parotid__sym__absdiff__dose__wavelet-HHH_glszm_ZoneVariance,1,0.2
parotid__sym__absdiff__dose__wavelet-HHL_glcm_ClusterTendency,1,0.2
parotid__sym__absdiff__dose__wavelet-HHL_glcm_Imc1,1,0.2
parotid__sym__absdiff__dose__wavelet-HHL_gldm_DependenceEntropy,1,0.2
parotid__sym__absdiff__dose__wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,1,0.2
parotid__sym__absdiff__dose__wavelet-HLL_glcm_MaximumProbability,1,0.2
parotid__sym__absdiff__dose__wavelet-HLL_glszm_GrayLevelVariance,1,0.2
parotid__sym__absdiff__dose__wavelet-LHH_glszm_SizeZoneNonUniformity,1,0.2
parotid__sym__absdiff__dose__wavelet-LHL_gldm_DependenceNonUniformityNormalized,1,0.2
parotid__sym__absdiff__dose__wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,1,0.2
parotid__sym__absdiff__dose__wavelet-LHL_glszm_LargeAreaEmphasis,1,0.2
parotid__sym__absdiff__dose__wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,1,0.2
parotid__sym__absdiff__dose__wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,1,0.2
parotid__sym__absdiff__dose__wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
parotid__sym__absdiff__dose__wavelet-LLL_firstorder_Energy,1,0.2
parotid__sym__absdiff__dose__wavelet-LLL_firstorder_TotalEnergy,1,0.2
parotid__sym__absdiff__dose__wavelet-LLL_glcm_ClusterProminence,1,0.2
parotid__sym__absdiff__dose__wavelet-LLL_glcm_DifferenceEntropy,1,0.2
parotid__sym__absdiff__dose__wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,1,0.2
parotid__sym__absratio__dose__original_glcm_JointEntropy,1,0.2
parotid__sym__absratio__dose__original_gldm_HighGrayLevelEmphasis,1,0.2
parotid__sym__absratio__dose__original_gldm_LargeDependenceLowGrayLevelEmphasis,1,0.2
parotid__sym__absratio__dose__original_glrlm_ShortRunLowGrayLevelEmphasis,1,0.2
parotid__sym__absratio__dose__original_shape_MinorAxisLength,1,0.2
parotid__sym__diff__dose__original_shape_LeastAxisLength,1,0.2
parotid__sym__max__dose__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,1,0.2
parotid__sym__max__dose__original_firstorder_Kurtosis,1,0.2
parotid__sym__max__dose__original_glcm_ClusterShade,1,0.2
parotid__sym__max__dose__wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,1,0.2
parotid__sym__max__dose__wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,1,0.2
parotid__sym__max__dose__wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
parotid__sym__max__dose__wavelet-HHH_ngtdm_Busyness,1,0.2
parotid__sym__max__dose__wavelet-HHL_gldm_DependenceNonUniformity,1,0.2
parotid__sym__max__dose__wavelet-HHL_glrlm_GrayLevelNonUniformity,1,0.2
parotid__sym__max__dose__wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,1,0.2
parotid__sym__max__dose__wavelet-HLL_glszm_GrayLevelVariance,1,0.2
